_id,businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
635,CHILDRENS HOSPITAL MAIN CAF,,300 LONGWOOD ,BOSTON,MA,02115,Active,FS,Eating & Drinking,2006-12-07 18:34:10+00,7812161814,,42.33692266140242,-71.10541896059212
636,Chili Bento,,1 Brighton,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2019-10-16 19:22:46.793+00,6179270210,157732,42.352411055760506,-71.12532952455528
637,Chill On Park,,142 Park,Dorchester,MA,02122,Active,FT,Eating & Drinking w/ Take Out,2014-12-18 15:27:17.337+00,6178253900,355692,42.29860724012092,-71.06042066080829
638,Chilton Club,,150 Commonwealth,Boston,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:33:56+00,6172664860,156420,42.35151341821788,-71.07777858996607
639,CHINA GOURMET RESTAURANT,,23 Tyler,Boston,MA,02111,Active,FS,Eating & Drinking,2006-12-07 18:35:35+00,6174829888,138816,42.35072340329694,-71.0609637677022
640,China Pearl Restaurant,,9 Tyler,Boston,MA,02111,Active,FS,Eating & Drinking,2006-12-07 18:34:00+00,6174264338,158001,42.35108502118551,-71.0607889159121
641,CHINA SEA RESTAURANT,,1194 Blue Hill,Mattapan,MA,02126,Active,FT,Eating & Drinking w/ Take Out,2023-01-19 14:54:20.597+00,6172982421,16185,42.283580000003745,-71.09136000159887
642,China Sky,,782 Adams,Dorchester,MA,02122,Active,FT,Eating & Drinking w/ Take Out,2025-01-29 18:26:41.95+00,6179387819,157063,42.28309336449543,-71.05560997209032
643,China Station,,530 Washington,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,2024-10-21 16:09:11.673+00,6172658688,146103,42.292980000287486,-71.07162000083713
644,Chinatown Cafe,,262 Harrison,Boston,MA,02111,Active,FS,Eating & Drinking,2010-04-22 12:09:09+00,6176959888,155728,42.34747064259072,-71.0625457214302
645,CHINESE DRAGON,,380 Chelsea,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:52+00,6175614009,30536,42.37933599998404,-71.0280700014459
646,Chip City,,316 Newbury,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2023-08-15 15:07:34.48+00,,168065,42.34859162953875,-71.08540164222354
647,Chip City,,97 Causeway,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2023-06-08 15:14:59.34+00,,424028,42.36465999963754,-71.06189000170804
648,Chipotle Mexican Grill,,144 Brookline,Boston,MA,02115,Active,FS,Eating & Drinking,2008-06-04 19:22:58+00,3032225994,,,
649,Chipotle Mexican Grill,,1924 Beacon,Brighton,MA,02135,Active,FS,Eating & Drinking,2007-07-10 15:27:56+00,3032225994,10015,42.3364201541702,-71.14957391871101
650,Chipotle Mexican Grill,,21 District,Dorchester,MA,02125,Active,FS,Eating & Drinking,2017-06-30 15:28:50.853+00,3032225994,420661,42.32572375144032,-71.0622261670595
651,Chipotle Mexican Grill,,462 Washington,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2025-01-16 17:10:05.023+00,6143182482,143580,42.34873500021143,-71.15899200120337
652,Chipotle Mexican Grill,,553 Boylston,Boston,MA,02116,Active,FS,Eating & Drinking,2014-06-12 12:50:38.3+00,3032225994,351726,42.3507290002497,-71.07608800138318
653,Chipotle Mexican Grill,,8 Park,Boston,MA,02116,Active,FS,Eating & Drinking,2016-01-05 17:28:26.143+00,3035954000,155883,42.351932981352526,-71.06700372037535
654,Chipotle Mexican Grill,,99 Seaport,Boston,MA,02210,Active,FS,Eating & Drinking,2016-04-29 14:59:38.033+00,3032225994,350792,42.35117453241631,-71.04541115925554
655,Chipotle Mexican Grill #1520,,101 Summer,Boston,MA,02111,Active,FS,Eating & Drinking,2010-06-10 15:18:53+00,3035954000,131979,42.35362000071225,-71.05824000098545
656,Chipotle Mexican Grille,,283 Washington,Boston,MA,02108,Active,FS,Eating & Drinking,2011-05-17 13:01:56+00,3035954000,144562,42.35756299950671,-71.05842300149453
657,Chubbs Taco & Tequila Bar,,750 Adams,Dorchester,MA,02122,Active,FS,Eating & Drinking,2024-04-10 16:14:15.2+00,6176098226,378686,42.28397999981773,-71.0552700015342
658,CHUNG WAH,,199 Bowdoin,Dorchester,MA,02122,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:31+00,6173359401,17675,42.305089999670635,-71.0681900012544
659,CIAO,,2 SEAPORT,BOSTON,MA,02210,Active,FS,Eating & Drinking,2006-12-07 18:35:23+00,6172619197,,42.348921574538025,-71.04083849444174
660,Ciao Roma,,5 North,Boston,MA,02113,Active,FS,Eating & Drinking,2017-04-19 13:56:11.353+00,6178234478,361068,42.36398999961064,-71.05357000105117
661,Cibao Restaurant,,1487 Dorchester,Dorchester,MA,02122,Active,FS,Eating & Drinking,2021-07-29 15:59:20.79+00,6175296054,157039,42.29993347226425,-71.06044139196251
662,Cinnabon# 106694,,700 Atlantic,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2024-12-13 15:27:11.89+00,,156723,42.35204827404688,-71.0551747507777
663,Cisco Brewers Fenway,,1301 Boylston,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2025-03-12 16:29:46.987+00,7817272295,162464,42.34474411273199,-71.0982899912623
664,Cisco Brewers Fenway - Trailer 1,,1301 Boylston,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2025-04-18 16:29:38.117+00,7817272295,162464,42.34474411273199,-71.0982899912623
665,Cisco Brewers Fenway - Trailer 2,,1301 Boylston,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2025-04-18 16:29:43.48+00,7817272295,162464,42.34474411273199,-71.0982899912623
666,Cisco Brewers Fenway - Trailer 3,,1301 Boylston,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2025-04-18 18:38:28.963+00,7817272295,162464,42.34474411273199,-71.0982899912623
667,Cisco Brewers Fenway - Trailer 4,,1301 Boylston,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2025-04-18 18:38:30.3+00,7817272295,162464,42.34474411273199,-71.0982899912623
668,Cisco Brewers Fenway - Trailer 5,,1301 Boylston,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2025-04-18 18:38:30.83+00,7817272295,162464,42.34474411273199,-71.0982899912623
669,Cisco Brewers Seaport - Bar #1,,85 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2026-03-20 18:46:09.997+00,5083255929,344021,42.35226512572445,-71.04502903142944
670,Cisco Brewers Seaport - Bar #2,,85 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2026-03-20 18:46:14.197+00,5083255929,344021,42.35226512572445,-71.04502903142944
671,Cisco Brewers Seaport - Trailer #1,,85 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-06-09 16:01:04.747+00,5083255929,344021,42.35226512572445,-71.04502903142944
672,Cisco Brewers Seaport - Trailer #2,,85 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-06-09 16:02:35.36+00,5083255929,344021,42.35226512572445,-71.04502903142944
673,Cisco Brewers Seaport - Trailer #4,,85 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-06-09 16:02:36.323+00,5083255929,344021,42.35226512572445,-71.04502903142944
674,Cisco Brewers Seaport - Trailer #5,,85 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-06-09 16:02:36.823+00,5083255929,344021,42.35226512572445,-71.04502903142944
675,Cisco Brewers Seaport - Trailer #6,,85 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-06-09 16:02:37.337+00,5083255929,344021,42.35226512572445,-71.04502903142944
676,Cisco Brewers Seaport - Trailer #7,,85 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-06-09 16:02:37.837+00,5083255929,344021,42.35226512572445,-71.04502903142944
677,"Cisco Brewers Seaport - Trailer #7 "" Winery""",,85 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2026-03-20 18:46:05.32+00,5083255929,344021,42.35226512572445,-71.04502903142944
678,Cisco Brewers Seaport - Trailer #8,,85 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-06-09 16:02:38.37+00,5083255929,344021,42.35226512572445,-71.04502903142944
679,Cisco Brewery,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2007-09-06 14:19:16+00,2406944746,,,
680,CitizenM Hotel,,50 Causeway,Boston,MA,02114,Active,FS,Eating & Drinking,2019-05-22 18:35:03.807+00,,340676,42.365708404451155,-71.06147827139706
681,CitizenM Hotel Boston Back Bay,,1001 Boylston,Boston,MA,02215,Active,FS,Eating & Drinking,2023-01-23 15:17:25.72+00,,439501,42.347280032727845,-71.08846481875297
682,Citizen Public House & Oyster Bar,,1310 Boylston,Boston,MA,02215,Active,FS,Eating & Drinking,2010-07-16 15:03:21+00,6174509000,162466,42.34421367470568,-71.09795491613264
683,Citizens,,772 Boylston,Boston,MA,02199,Active,FT,Eating & Drinking w/ Take Out,2023-12-05 16:03:35.29+00,,355913,42.34870099983371,-71.08163200109793
684,Citra A Fresh Cafe,,221 Longwood,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2012-07-10 13:38:48+00,6172835353,87166,42.33723999974409,-71.10217000081157
685,Citrus & Salt,,319R A,Boston,MA,02210,Active,FS,Eating & Drinking,2024-04-24 12:42:34.253+00,6174246711,155130,42.34866803867135,-71.04842246012896
686,City Bar/M. J. O'Connor's,,425 Summer,Boston,MA,02210,Active,FS,Eating & Drinking,2008-06-26 17:04:07+00,6177894111,,,
687,Cityside,,1958 BEACON,BRIGHTON,MA,02135,Active,FS,Eating & Drinking,2009-01-08 16:08:19+00,6175661002,,,
688,City Tap House,,374 Congress,Boston,MA,02210,Active,FS,Eating & Drinking,2016-01-25 15:47:58.223+00,4843518711,42114,42.34994056599455,-71.04741078358376
689,City Winery,,1 Canal,Boston,MA,02114,Active,FS,Eating & Drinking,2016-11-30 16:25:43.03+00,9176570062,342962,42.3637485272558,-71.05895899108114
690,CLARKE'S,,21 Merchants,Boston,MA,02109,Active,FS,Eating & Drinking,2006-12-07 18:34:08+00,2277800,156457,42.35946155034602,-71.05548049460207
691,Classic Harbor Lines,,60 Rowes,Boston,MA,02110,Active,FS,Eating & Drinking,2017-09-20 15:58:46.477+00,6179512460,156112,42.355877344678056,-71.04992652332653
692,Clay Pot Cafe,,66 Brighton,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2024-11-19 16:52:49.51+00,6178609168,20171,42.352399999681445,-71.12881000045662
693,Clay Pot Cafe,,74 Kneeland,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2023-03-01 16:51:54.297+00,6178609168,82319,42.35055345072385,-71.06065381380246
694,CLERY'S,,331 Columbus,Boston,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:34:56+00,6172629874,157607,42.34611743534105,-71.07519105714388
695,Clock Tavern,,342 Broadway,South Boston,MA,02127,Active,FS,Eating & Drinking,2024-02-26 19:42:26.823+00,7819567300,351661,42.33832799941152,-71.04972400123448
696,Clover,Clover,800 Boylston,Boston,MA,02199,Active,FS,Eating & Drinking,2019-09-17 19:53:56.923+00,7732030741,157244,42.34729680482496,-71.0814574594804
697,Clover,,160 Federal,Boston,MA,02110,Active,FS,Eating & Drinking,2015-11-13 19:02:54.897+00,8585316392,57187,42.3540490005948,-71.05592500098112
698,Club Cafe,,209 Columbus,Boston,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:33:56+00,6175360966,156406,42.34855898109783,-71.07229078169252
699,CLUB HOTEL BAR,,240 Mount Vernon,Dorchester,MA,02125,Active,FS,Eating & Drinking,2006-12-07 18:35:07+00,6178223600,98929,42.32043527097007,-71.04804043116269
700,Cmelatte Cafe,,197 Eighth,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,2024-11-15 17:17:15.003+00,6172417300,51478,42.37364563247192,-71.05169938745611
701,C. Noula Restaurant,,962 Blue Hill,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,2026-01-15 17:16:42.54+00,6179396985,16609,42.29086900041597,-71.08890800099503
702,CO3/BO3/YO3,Aramark Corporation,4 Jersey,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2008-11-16 15:36:59+00,7742054363,424258,42.34673007807398,-71.0986629781914
703,CO5/BO5,,4 Jersey,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2008-11-16 15:38:57+00,7742054363,424258,42.34673007807398,-71.0986629781914
704,CO6/BO6,,4 Jersey,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2008-11-16 15:42:45+00,7742054363,424258,42.34673007807398,-71.0986629781914
705,CO7,,4 Jersey,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2008-11-16 15:44:27+00,7742054363,424258,42.34673007807398,-71.0986629781914
706,Cobblestones,,30 Charles,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2021-09-07 14:17:48.92+00,6172025377,352500,42.35680299964744,-71.07009900166966
707,Cocobeet,,100 City Hall,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2020-02-04 16:45:37.19+00,8572638598,158266,42.35952902576231,-71.05875080153022
708,Cocobeet,,225 Franklin,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2025-12-02 14:06:13.21+00,9178090678,158047,42.356135732002706,-71.0540683495597
709,Cocobeet,,23 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-08-27 18:03:31.107+00,9178090678,352651,42.353425169987005,-71.0476118790756
710,Coco Bubble Tea,,150 Huntington,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2024-07-29 14:54:36.427+00,,365649,42.344909999677945,-71.0817900008921
711,Coco Leaf,,1480 Dorchester,Dorchester,MA,02122,Active,FS,Eating & Drinking,2016-07-06 16:34:54.613+00,7812545218,48331,42.30007999977221,-71.05995000089015
712,Code 10 Restaurant Cafe,,2 Concord,Roxbury,MA,02118,Active,FS,Eating & Drinking,2014-01-13 13:15:39+00,6173756333,41759,42.337898831565575,-71.07468940685439
713,Coffee Cup (Ashmont Station southbound side),,1906 Dorchester,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,2013-03-15 13:05:56+00,8572370105,351620,42.284208628820906,-71.0644731010582
714,COFFEE SHOP,,11 Elkins,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:00+00,6172686862,157369,42.3393531919292,-71.03612907033772
715,Coffee Turco,,483 Cambridge,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2023-01-25 13:48:25.74+00,6172088258,448649,42.35387688317343,-71.1371676372225
716,Cold Stone Creamery,,800 Boylston,Boston,MA,02199,Active,FT,Eating & Drinking w/ Take Out,2015-03-13 16:52:45.86+00,7737063566,157244,42.34729680482496,-71.0814574594804
717,Colette Bakery,,517 Columbus,Roxbury,MA,02118,Active,FT,Eating & Drinking w/ Take Out,2023-11-02 15:43:44.013+00,6177842204,35826,42.34222000041481,-71.08014000086261
718,Collective,,115 Federal,Boston,MA,02110,Active,FS,Eating & Drinking,2022-03-24 13:11:25.2+00,,57152,42.35461077009476,-71.05667405364166
719,Collective Pantry,,115 Federal,Boston,MA,02110,Active,FS,Eating & Drinking,2023-12-20 18:46:53.147+00,6178615544,57152,42.35461077009476,-71.05667405364166
720,Collective Prep & Storage,,115 Federal,Boston,MA,02110,Active,FS,Eating & Drinking,2022-03-24 13:02:12.567+00,,57152,42.35461077009476,-71.05667405364166
721,College Club,,44 Commonwealth,Boston,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:33:56+00,6175369510,40827,42.352729999417946,-71.07335000092408
722,COLLEGE PIZZA,,50 Queensberry,Boston,MA,02215,Active,FS,Eating & Drinking,2021-12-13 17:12:15.1+00,,156080,42.342574715993216,-71.0972792568857
723,Colonnade Hotel,,120 Huntington,Boston,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:34:03+00,4247000,76242,42.345509999911236,-71.08107000054265
724,Comedy Connection @ The Wilbur Theater,Re: 3 Bars,244 Tremont,Boston,MA,02116,Active,FS,Eating & Drinking,2008-07-17 19:28:48+00,6172489700,137463,42.3506999995199,-71.06467000133648
725,Comella's,1844 Inc.,1882 Centre,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,2007-01-31 19:56:48+00,6173278600,27748,42.285677900635385,-71.15553288984404
726,Comfort Kitchen,,611 Columbia,Dorchester,MA,02125,Active,FS,Eating & Drinking,2021-02-18 16:05:05.953+00,8572207573,35317,42.31747400004909,-71.06404800092987
727,Committee,,50 Northern,Boston,MA,02210,Active,FS,Eating & Drinking,2014-10-06 14:21:07.92+00,6177924407,352772,42.3534491608824,-71.04626044179913
728,Common Craft,,235 Old Colony,South Boston,MA,02127,Active,FS,Eating & Drinking,2026-02-24 15:31:05.077+00,6173919455,168361,42.331988586472974,-71.05370009555784
729,Common Ground Cafe @ Simmons College,,300 Fenway,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2010-09-10 15:07:23+00,6175211073,57444,42.33930999984839,-71.09996000108146
730,Commonwealth Pier - All Day Cafe,,200 Seaport,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-05-23 16:13:29.963+00,,352732,42.35000999968615,-71.04099000151585
731,Commonwealth Pier - Harbor Cafe,,200 Seaport,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-05-23 16:39:21.61+00,,352732,42.35000999968615,-71.04099000151585
732,Commonwealth Pier - The Beanery,,200 Seaport,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-05-23 15:54:15.22+00,,352732,42.35000999968615,-71.04099000151585
733,Community Servings Employee Cafeteria,,18 Marbury,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,2018-06-28 14:27:57.847+00,6175227777,89503,42.3177669240371,-71.10304312484695
734,Community Workshop Inc.,,174 Portland,Boston,MA,02114,Active,FS,Eating & Drinking,2006-12-07 18:34:07+00,6177202233,155739,42.36412338667281,-71.06181955821013
735,Concession Kitchen South Side,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-09-15 13:37:30+00,6175523307,172185,42.33528927232475,-71.16749169530911
736,Con Sabor A columbia,,244 Meridian,East Boston,MA,02128,Active,FS,Eating & Drinking,2023-03-30 16:50:53.897+00,6174181610,94415,42.37592999953333,-71.039340000538
737,Conte 1,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 13:12:31+00,6175523307,172185,42.33528927232475,-71.16749169530911
738,Conte 2,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 13:30:29+00,6175523307,172185,42.33528927232475,-71.16749169530911
739,Conte 3,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 13:36:45+00,6175523307,172185,42.33528927232475,-71.16749169530911
740,Conte 4,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 13:38:28+00,6175523307,172185,42.33528927232475,-71.16749169530911
741,Conte 5,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 13:40:41+00,6175523307,172185,42.33528927232475,-71.16749169530911
742,Conte 6,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 13:42:12+00,6175523307,172185,42.33528927232475,-71.16749169530911
743,Conte 7,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 13:43:47+00,6175523307,172185,42.33528927232475,-71.16749169530911
744,Conte 8,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 13:45:22+00,6175523307,172185,42.33528927232475,-71.16749169530911
745,Contessa,,15 Arlington,Boston,MA,02116,Active,FS,Eating & Drinking,2022-04-13 13:38:23.403+00,,4827,42.35282999954591,-71.07160000160395
746,Convene @ 1 Boston Place,,201 Washington,Boston,MA,02108,Active,FS,Eating & Drinking,2016-10-13 14:29:27.513+00,6177954999,172688,,
747,COOGAN'S BLUFF,,171 Milk,Boston,MA,02110,Active,FS,Eating & Drinking,2006-12-07 18:34:56+00,4517400,95436,42.358269999867126,-71.05330000182317
748,Cool Shade Restaurant,,388 Blue Hill,Dorchester,MA,02121,Active,FT,Eating & Drinking w/ Take Out,2023-05-16 16:00:19.14+00,6178663413,162174,42.31132720354998,-71.08083091564684
749,Coppa,,253 SHAWMUT,BOSTON,MA,02118,Active,FS,Eating & Drinking,2009-12-09 17:52:46+00,6173910902,,,
750,Coquette/Cocorico,,440 Summer,Boston,MA,02210,Active,FS,Eating & Drinking,2020-11-13 16:19:38.457+00,9783175796,424270,42.347046427894625,-71.04273059468561
751,Coreanos,,172 Brighton,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2025-04-14 19:32:51.793+00,8572689754,351875,42.352910000147475,-71.13293000079594
752,Corner Cafe,,87 Prince,Boston,MA,02113,Active,FS,Eating & Drinking,2006-12-07 18:34:07+00,6175238997,155740,42.365610201994826,-71.05597013238763
753,Cornwall's,,648 Beacon,Boston,MA,02215,Active,FS,Eating & Drinking,2019-01-09 19:05:46.14+00,6172623749,355370,42.34941240090344,-71.09556249597829
754,CORRIB PUB,,396 Market,Brighton,MA,02135,Active,FS,Eating & Drinking,2006-12-07 18:34:13+00,,90280,42.3499000000401,-71.15277000104486
755,CORRIB PUB AND RESTAURANT,,2030 Centre,West Roxbury,MA,02132,Active,FS,Eating & Drinking,2006-12-07 18:34:42+00,6174694177,158200,42.28072702473488,-71.15795120889108
756,Cosi,,133 Federal,Boston,MA,02110,Active,FS,Eating & Drinking,2006-12-07 18:36:34+00,5084352100,57153,42.35426000019942,-71.0566000009897
757,Cosmica @ the Revolution Hotel,,40 Berkeley,Boston,MA,02116,Active,FS,Eating & Drinking,2019-07-05 13:52:03.68+00,6174230069,15025,42.34594000010057,-71.07090000110264
758,Costello's Tavern Inc,,717 Centre,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,2006-12-07 18:33:55+00,6175229263,28177,42.31124000032168,-71.11473000072672
759,Cotti Coffee Boston - Stall#1,,122 Brighton,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2026-04-13 14:39:41.27+00,6178476262,162569,42.35240065993929,-71.13107730992346
760,Countway LIbrary Cafe,,10 Shattuck,Boston,MA,02115,Active,FS,Eating & Drinking,2019-10-28 17:05:34.653+00,6174326165,125974,42.33506700084855,-71.1037160018576
761,Courtyard Boston Copley Square,,88 Exeter,Boston,MA,02116,Active,FS,Eating & Drinking,2025-05-20 18:36:19.73+00,6174379300,157810,42.34860046461396,-71.07881822991087
762,Courtyard Boston Downtown,,275 Tremont,Boston,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:34:43+00,6177282110,158150,42.350043897645286,-71.06546316328973
763,Courtyard by Marriot Boston - The Bistro,,96 Beverly,Boston,MA,02114,Active,FS,Eating & Drinking,2015-11-13 15:24:46.173+00,6173999528,348029,42.36533855673271,-71.05985244440086
764,Courtyard By Marriott,,65R Boston,Dorchester,MA,02125,Active,FS,Eating & Drinking,2007-05-01 18:36:19+00,6174368200,17176,42.32823071668184,-71.06000381579773
765,COURTYARD CAFE,,200 Longwood,Boston,MA,02115,Active,FS,Eating & Drinking,2006-12-07 18:36:23+00,6174326169,156320,42.33647172254736,-71.10247428718928
766,COURTYARD CAFE,,275 Tremont,Boston,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:36:42+00,6174261400,158150,42.350043897645286,-71.06546316328973
767,Courtyard Marriott Logan Airport,,225 William F McClellan,East Boston,MA,02128,Active,FS,Eating & Drinking,2017-09-14 17:12:46.053+00,6175695250,336914,42.387250000050706,-71.01656000177333
768,CP Cafe,,205 Newbury,Boston,MA,02116,Active,FS,Eating & Drinking,2023-03-01 17:11:43.51+00,,101425,42.35026999965587,-71.08086000109826
769,Craft Food Hall,,135 William T Morrissey,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2021-05-06 15:36:10.01+00,6178708809,149908,42.316009999648365,-71.04921000041936
770,Craft Food Halls,,1234 Soldiers Field,Brighton,MA,02134,Active,FS,Eating & Drinking,2024-03-07 15:28:11.367+00,6172061848,128292,42.36369999991086,-71.13638000135676
771,Craft Food Halls,,1 Post Office,Boston,MA,02110,Active,FS,Eating & Drinking,2025-06-05 16:03:55.627+00,4135888645,158388,42.35679785015295,-71.05498123792066
772,Crane River Cheese Club,,138 Cambridge,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2022-07-14 18:38:15.577+00,6176050134,157200,42.36100313975509,-71.06392800667803
773,Crazy Dough's Pizza,,2201 Commonwealth,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2015-06-19 12:46:32.547+00,6172025769,156893,42.34024952546169,-71.16653215188494
774,Creamira,,196 Quincy,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2025-11-07 16:18:53.81+00,5865063603,377254,42.31306866790966,-71.07391936327326
775,Crescent Ridge Dairy,,100 Hanover,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2015-03-30 15:29:05.91+00,7817607569,355634,42.36222403255521,-71.05753575641967
776,Crisp By Stats,,80 Causeway,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2025-08-18 18:37:37.67+00,6033613736,423633,42.36553349531547,-71.06185622592876
777,CRISPY CREPES CAFE,,714 Commonwealth,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2016-01-08 17:42:34.633+00,6178599585,157171,42.34957375170665,-71.10565820916442
778,Crispy Dough Pizzeria,,1512 TREMONT,Mission Hill/,MA,02120,Active,FS,Eating & Drinking,2012-09-25 17:58:13+00,6174457799,0,,
779,CROKE PARK,,268 Broadway,South Boston,MA,02127,Active,FS,Eating & Drinking,2006-12-07 18:34:30+00,6172686205,155852,42.339275770519656,-71.05119113796478
780,Crown Fried Chicken,,344 Warren,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,2022-11-28 16:07:02.35+00,6174451414,352492,42.318980000267075,-71.0811300008356
781,Crumbl Cookies,,21 District,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2024-05-28 19:47:25.557+00,8572712003,423054,42.32560969076175,-71.06207719722238
782,Crush Pizza,,982 Bennington,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2023-06-12 15:26:25.203+00,,162032,42.38665339810077,-71.00756344231228
783,Crystal Spoons,,1950 Washington,Roxbury,MA,02118,Active,FS,Eating & Drinking,2023-04-04 14:24:25.463+00,,449906,42.33408650996489,-71.07950854220118
784,Cumin Club Indian Kitchen,,100 High,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2024-10-10 14:43:40.857+00,7736730664,342934,42.354465446258,-71.05529865229609
785,Cunard Tavern,,24 Orleans,East Boston,MA,02128,Active,FS,Eating & Drinking,2016-07-15 13:54:56.93+00,6175677609,393468,42.36733324399819,-71.03881313997199
786,Cuppa Coffee,,275 Albany,Roxbury,MA,02118,Active,FT,Eating & Drinking w/ Take Out,2014-11-26 16:09:49.92+00,5089306297,1536,42.34362534083521,-71.06265928430781
787,CUPPACOFFEE,,1 Merrimac,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2011-09-27 14:32:18+00,5089306297,342817,42.36318781367069,-71.05979518944268
