_id,businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
1451,Jaho Coffee Roaster & Wine Bar,,116 Huntington,Boston,MA,02116,Active,FS,Eating & Drinking,2017-09-15 13:39:38.54+00,6172852312,76240,42.34651000028041,-71.07976000115998
1452,Jaho Coffee Roaster & Wine Bar,,659 Washington,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2014-12-05 13:29:47.41+00,9782238982,155660,42.351742460783846,-71.0630532474751
1453,Jaho Coffee & Tea,,1651 Washington,Roxbury,MA,02118,Active,FT,Eating & Drinking w/ Take Out,2011-03-08 13:40:26+00,6172361680,144306,42.33789999968506,-71.07541000149061
1454,Jamaica Mi Hungry/Swirld Cinnamon Rolls,,11 Walter,Hyde Park,MA,02136,Active,FT,Eating & Drinking w/ Take Out,2026-06-01 15:39:33.643+00,6172598017,142238,42.25693000010156,-71.1193400018027
1455,Jamaica Plain House of Pizza,,775 Centre,Jamaica Plain,MA,02130,Active,FT,Eating & Drinking w/ Take Out,2021-11-17 16:08:57.75+00,6175224154,351828,42.309996304804834,-71.11551762168982
1456,Jamaica's Best Restaurant ,,1614 Blue Hill,Mattapan,MA,02126,Active,FS,Eating & Drinking,2023-10-26 18:39:15.3+00,6176903892,157942,42.268881358357056,-71.09335106232398
1457,Java House,,541 Broadway,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,2021-03-10 19:46:13.517+00,6174644858,157314,42.33530208730255,-71.04227258332388
1458,Jays Kitchen - K110,,94 Shirley,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,2025-09-04 13:38:24.53+00,9178214447,127222,42.32448468232285,-71.07021644447491
1459,JEANIE JOHNSTON PUB,,144 South,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,2006-12-07 18:36:06+00,6179839432,156266,42.305066801287474,-71.11444910593787
1460,Jen Lai Noodle and Rice Co.,,1 FANEUIL HALL MKT PL,BOSTON,MA,02109,Active,FT,Eating & Drinking w/ Take Out,2007-04-01 13:39:37+00,9087568888,,42.36002999999229,-71.0562400012183
